Player,Games,RecTD,RshTD,TotalTouchdowns
Darrel Williams,57.0,4.0,11.0,15.0
Darrell Daniels,12.0,1.0,0.0,1.0
Darrell Jackson,123.0,51.0,0.0,51.0
Darrell Stuckey,16.0,0.0,0.0,0.0
Darrelle Revis,16.0,0.0,0.0,0.0
Darren Howard,16.0,0.0,0.0,0.0
Darren McFadden,99.0,5.0,28.0,33.0
Darren Sproles,165.0,32.0,23.0,55.0
Darren Waller,64.0,19.0,0.0,19.0
Darrent Williams,27.0,0.0,0.0,0.0
Darrick Vaughn,32.0,0.0,0.0,0.0
Darrius Heyward-Bey,114.0,16.0,2.0,18.0
Darron Lee,12.0,0.0,0.0,0.0
Darryl Tapp,16.0,0.0,0.0,0.0
Daryl Smith,46.0,0.0,0.0,0.0
Dashon Goldson,31.0,0.0,0.0,0.0
Davante Adams,86.0,44.0,0.0,44.0
Dave Ball,15.0,0.0,0.0,0.0
Dave Costa,14.0,0.0,0.0,0.0
Dave Rayner,45.0,0.0,0.0,0.0
Daven Holly,14.0,0.0,0.0,0.0
David Allen,14.0,1.0,0.0,1.0
David Amerson,32.0,0.0,0.0,0.0
David Anderson,30.0,4.0,0.0,4.0
David Barrett,11.0,0.0,0.0,0.0
David Bass,12.0,0.0,0.0,0.0
David Buehler,16.0,0.0,0.0,0.0
David Carr,66.0,0.0,9.0,9.0
David Clowney,13.0,1.0,0.0,1.0
David Cobb,7.0,0.0,1.0,1.0
David Fales,2.0,0.0,1.0,1.0
David Garrard,73.0,0.0,17.0,17.0
David Gettis,15.0,3.0,0.0,3.0
David Givens,53.0,12.0,0.0,12.0
David Harris,16.0,0.0,0.0,0.0
David Macklin,16.0,0.0,0.0,0.0
David Martin,108.0,15.0,0.0,15.0
David Morgan,15.0,1.0,0.0,1.0
David Njoku,79.0,19.0,0.0,19.0
David Quessenberry,4.0,1.0,0.0,1.0
David Reed,13.0,0.0,0.0,0.0
David Sims,26.0,4.0,19.0,23.0
David Terrell,53.0,9.0,0.0,9.0
David Thomas,58.0,8.0,0.0,8.0
David Wilson,21.0,1.0,5.0,6.0
Davis Webb,1.0,0.0,1.0,1.0
Davone Bess,91.0,14.0,0.0,14.0
Dawan Landry,48.0,0.0,0.0,0.0
De'Anthony Thomas,43.0,4.0,2.0,6.0
De'Vondre Campbell,13.0,0.0,0.0,0.0
DeAndre Hopkins,99.0,40.0,0.0,40.0
DeAndre Levy,43.0,0.0,0.0,0.0
DeAngelo Hall,100.0,0.0,0.0,0.0
DeAngelo Williams,136.0,9.0,61.0,70.0
DeMarco Murray,83.0,6.0,36.0,42.0
DeMarcus Ware,32.0,0.0,0.0,0.0
DeSean Jackson,176.0,58.0,4.0,62.0
DeShaun Foster,79.0,5.0,11.0,16.0
DeShawn Wynn,12.0,0.0,5.0,5.0
DeShone Kizer,15.0,0.0,5.0,5.0
DeVante Parker,106.0,27.0,0.0,27.0
DeVier Posey,11.0,0.0,0.0,0.0
Dean Lowry,16.0,0.0,0.0,0.0
Deatrich Wise Jr.,16.0,0.0,0.0,0.0
Dede Westbrook,38.0,9.0,0.0,9.0
Deion Branch,130.0,39.0,0.0,39.0
Deion Jones,53.0,0.0,0.0,0.0
Dekoda Watson,14.0,0.0,0.0,0.0
Delanie Walker,145.0,36.0,1.0,37.0
Delano Howell,6.0,0.0,0.0,0.0
Delone Carter,26.0,0.0,5.0,5.0
Deltha O'Neal,73.0,0.0,0.0,0.0
Demarcus Ayers,2.0,1.0,0.0,1.0
Demarcus Faggins,27.0,0.0,0.0,0.0
Demarcus Robinson,82.0,16.0,0.0,16.0
Demaryius Thomas,143.0,63.0,0.0,63.0
Demetrin Veal,15.0,0.0,0.0,0.0
Demetrius Williams,35.0,4.0,0.0,4.0
Demorrio Williams,46.0,0.0,0.0,0.0
Denard Robinson,26.0,0.0,5.0,5.0
Denarius Moore,41.0,17.0,1.0,18.0
Dennis Dixon,1.0,0.0,1.0,1.0
Dennis Johnson,16.0,0.0,2.0,2.0
Dennis Northcutt,105.0,18.0,1.0,19.0
Dennis Pitta,52.0,13.0,0.0,13.0
Denzel Ward,41.0,0.0,0.0,0.0
Deon Anderson,14.0,1.0,0.0,1.0
Deon Butler,13.0,4.0,0.0,4.0
Deone Bucannon,16.0,0.0,0.0,0.0
Derek Anderson,24.0,0.0,5.0,5.0
Derek Barnett,15.0,0.0,0.0,0.0
Derek Carr,48.0,0.0,6.0,6.0
Derek Fine,10.0,1.0,0.0,1.0
Derek Hagan,81.0,7.0,0.0,7.0
Derek Moye,7.0,1.0,0.0,1.0
Derek Schouman,16.0,1.0,0.0,1.0
Derek Smith,30.0,0.0,0.0,0.0
Derrick Blaylock,28.0,2.0,10.0,12.0
Derrick Henry,55.0,1.0,32.0,33.0
Derrick Pope,16.0,0.0,0.0,0.0
Derrick Shelby,16.0,0.0,0.0,0.0
Derrius Guice,5.0,1.0,2.0,3.0
Deshaun Watson,60.0,1.0,18.0,19.0
Desmond Bishop,15.0,0.0,0.0,0.0
Desmond King,46.0,0.0,0.0,0.0
Desmond Trufant,31.0,0.0,0.0,0.0
